Date,DIA,DLN,DOG,DRIP,DSLV,DUST,DVY,DWTI,DXD,DXJ,EDC,EDZ,EEM,EEMV,EFA
5/4/2010,2177543532,2109547.049,24884345.51,,,,33635653.57,,53217549,1939425.095,704155230.9,37360383,6454351592,,2259537518
5/5/2010,2056363577,1252734.029,31198284.63,,,,44210206.9,,45724590,601620.0296,16318800.6,48871737,5228310199,,2105646865
5/6/2010,3623607147,3691413,47392799.07,,,,91324197.98,,106145271,2348080.06,23916781,50161406.69,8550147619,,3182442048
5/7/2010,3516657912,1052415.026,61219218.81,,,,54112437,,121924914,552015.0282,25081560,52626833.9,7304413978,,3256678366
5/10/2010,2209032000,1464179.966,43003212.87,,,,31890721.37,,81288375,723398.9823,25319779.13,30803736.71,7693297228,,3317009207
5/11/2010,1770159369,1048296,24487100.49,,,,26412509.43,,56842630,173161,19355113.41,29353950.65,4818758040,,2182812538
5/12/2010,1418741126,1066716,21933244,,,,21981526.47,,44775608.25,857327.9788,14812505.04,15567090.35,3009219694,,1448463356
5/13/2010,1206471648,740425.0175,15551090.37,,,,37059115.21,,28285521.08,936944.9765,18116278.69,14819462,2887819200,,1526799360
5/14/2010,1913143307,2143380.051,41252065.64,,,,23100308,,68500632,561847.0143,18381442.11,33062749.38,4465726876,,2017906419
5/17/2010,1869660291,2637968.126,30427259.39,,,,34049250,,64236129,725595.0366,13776264.54,46143710.94,3992058625,,1658537893
5/18/2010,2024900207,913393.0442,40259975,,,,24661368.54,,70458720,377717.9903,12881489.62,31819890.61,4362919470,,1917689450
5/19/2010,2526538955,1187789.942,38639562,,,,25988888,,86367622,314361.0081,16531218.14,39427702.52,4933847334,,2037683389
5/20/2010,2902676020,3168075,54276340.97,,,,45487331.04,,107235700.4,3231360.173,24363522.46,53980368,6307450846,,2373621676
5/21/2010,3140796397,1686104.958,53656051.03,,,,35666767,,137095660.3,644943.9827,22693531.15,45321575.82,6327371286,,2537215200
5/24/2010,1665025704,1045176,27502973.48,,,,19899039.09,,48216398.38,552928.0148,12435922.37,17884264.63,3360100071,,1258246500
5/25/2010,2528196427,3043908,87734212.66,,,,34895351.2,,100582064,2109852.114,19765046.91,40049608.64,5272596861,,2528865976
5/26/2010,1844070032,2002259.898,43671938.64,,,,29447069.36,,74901533.47,1185600,13548466.66,30001263,4686137679,,1963895430
5/27/2010,1883186322,1620841.92,34967033.32,,,,18234293.18,,62503557.81,520397.9862,14487552,32918589,5701823226,,1650884963
5/28/2010,1972830494,935298.0234,26597739,,,,19403828.56,,55158801.89,303750,9175785.208,33298600.66,4313822744,,1907775072
6/1/2010,1706403072,678540.0172,30620495.42,,,,19095674.12,,76119114.55,101925,9761472.907,32558400.61,3405969562,,1662612224
6/2/2010,1526785510,1239707.969,19449989,,,,35496020.4,,63950396,881672,9903168,24760223.48,4015806264,,1244519031
6/3/2010,1217554278,1230288.03,23236434.9,,,,31954143.72,,32193492,911520,12499488,22412480.54,2718058756,,1323149839
6/4/2010,1993493608,871707,48397520.91,,,,32135026.5,,68147232,1627002.044,12254214.87,40810800.77,4052463949,,1719802213
6/7/2010,1345768301,1396799.964,38012716,,,,14092354,,63818800,1549583.043,6449696.964,35279350.73,3007670096,,1128740013
6/8/2010,2494611554,1489469.962,59695998.88,,,,18994882,,84995568,804661,8844336.833,30154902.74,4062087372,,1594862514
6/9/2010,1594014752,757958,36252660.68,,,,15661863.36,,74389178,1437706.079,8646900.82,24577340.46,3276927400,,1424333160
6/10/2010,1408552087,1120464,32234564.38,,,,16003130.72,,46010248,267984.0072,11987700.52,21301152.45,3580492749,,1489913040
6/11/2010,927573134.9,676703.9832,19571441.38,,,,11262950,,39207450,7485087.202,10465620.44,20203325.57,2577404207,,1098474581
6/14/2010,918820789,1649497.082,25914251.5,,,,10931459.51,,48225320,1148793.939,10732560.91,20943887.55,3256342701,,1450867813
6/15/2010,979416738.2,1102284.027,25826723.51,,,,19178916,,51842393.89,684000,14956239.42,18383463,3853990234,,1440379750
6/16/2010,1001434306,1068599.948,22941279.55,,,,13900413.7,,39277258.57,969764.9745,12916202.01,15817918.37,2552429540,,1101059408
6/17/2010,1018707149,1868664,24884345.98,,,,12575750,,31768804,8237050,13192398.96,22524863.47,2728552511,,1186527053
6/18/2010,720009229.2,3385817.918,21122208.84,,,,11955124,,16555338,868710,8356688.982,7780809.184,2580420687,,1021446467
6/21/2010,1071531629,2940416.857,23260819.08,,,,21290530,,31031948.14,278203.0073,16158840.61,20609645.03,3927843968,,1319708668
6/22/2010,1226472708,708750,23975314.07,,,,53382020,,51339258,986512.9474,10738260.42,18579391.56,3996406979,,1455030015
6/23/2010,1335461005,702785.9826,23824205.46,,,,13502916,,61025493.82,478720.0256,12315099.04,26848406,3727765910,,1540194313
6/24/2010,1360670385,556919.986,22591425.57,,,,18002670,,53134512,704408.0191,9812016.407,19478976.44,3220325003,,1176302259
6/25/2010,1108086831,3049591.847,20093039.23,,,,10903008,,51394478.21,790655.9787,10017964.8,14117150.33,2391737054,,1557528451
6/28/2010,686819821.5,485357.9877,17305731.33,,,,10323855.23,,34148818,1732125.953,6634599.458,18176648.42,1419256300,,1159638398
6/29/2010,1645128167,913160.9763,50318044.88,,,,22356322,,78102783,2721105,16412610.29,41041729.68,4523104898,,1861928099
6/30/2010,1308233366,3662434,29170799.92,,,,21605356,,63379412.05,659339.9815,12122880.57,27484620.55,3141474444,,1865609040
7/1/2010,1806844474,1813074.905,65806525.57,,,,31784219.25,,115249163.3,2666591.925,11823240.55,34332985.41,4260608478,,2050575341
7/2/2010,1095183193,1275792.034,41388456,,,,24668949,,77364632,1604726.09,7638600.351,21111510,2410507375,,1157495745
7/6/2010,998998899.2,1297164.034,53181721.02,,,,22889857.08,,59727550,1379020.038,11796481.02,15971720.35,2941801887,,1259625148
7/7/2010,1229063991,923785.0235,44997965.71,,,,24407135.44,,70544516,436364,9120077.117,10826444,2673885472,,1540209614
7/8/2010,959929333.9,1368270,30284934.83,,,,39345459.11,,45442837.59,1859499.95,9199343.63,10740596,2407259185,,1535526983
7/9/2010,753326743.4,658184.9835,23296754.45,,,,13253318.7,,38139696,107386.9971,8734265.355,9950428.495,1749770731,,991538439.8
7/12/2010,676189475,1684202,15678468.3,,,,11828944,,24243254,651359.9823,5746043.542,7069852.342,2109840046,,973108303.5
7/13/2010,968744871,937512,38610558.76,,,,18533625,,42778135,1173534,9985560.385,10682222.54,2093533480,,1067971509
7/14/2010,908632125,1324464.033,16469359.68,,,,13292018.3,,30347713.11,359773,8611056.67,11597100,1866022421,,868330034
7/15/2010,1192104056,2112534.052,41707974,,,,10394487.54,,54338346.02,3206173.088,9086040.358,9188244.452,2659136736,,1113574042
7/16/2010,1234311921,1167905,61576569.18,,,,16445646,,63611925.79,874132.9753,9468889.228,18739684.42,3845578574,,1442406208
7/19/2010,740759011.9,1150219.971,25413353.49,,,,17004405.39,,44988440,954681.0538,6412800.267,12072815.72,1829469048,,765670620.7
7/20/2010,941517882.4,1401235.07,29289935.43,,,,10104165.23,,64489600,6345238,8881819.308,13242549.67,3697588601,,886665699.3
