Date,DIA,DLN,DOG,DRIP,DSLV,DUST,DVY,DWTI,DXD,DXJ,EDC,EDZ,EEM,EEMV,EFA
12/7/2006,122.760002,57.150002,64.199997,,,,70.239998,,59.27,54.619999,,,112.400013,,73.330002
12/8/2006,123,57.259998,64.07,,,,70.169998,,59.099998,54.470001,,,111.899998,,73.150002
12/11/2006,123.339996,57.490002,63.950001,,,,70.550003,,58.830002,54.459999,,,111.950008,,73.449997
12/12/2006,123.190002,57.540001,64.029999,,,,70.699997,,59,54.34,,,110.600006,,73.75
12/13/2006,123.349998,57.619999,63.98,,,,70.739998,,58.939999,54.419998,,,111.200008,,74.029999
12/14/2006,124.230003,58.110001,63.580002,,,,71.199997,,58.130001,54.93,,,113.100002,,74.330002
12/15/2006,124.150002,58.27,63.400002,,,,71.120003,,57.830002,54.779999,,,113.600006,,74.029999
12/18/2006,124.220001,58.25,63.5,,,,70.93,,57.900002,54.490002,,,112.809986,,73.919998
12/19/2006,124.379997,58.450001,63.400002,,,,71.129997,,57.700001,54.349998,,,112.100006,,74.25
12/20/2006,124.419998,58.32,62.470001,,,,70.709999,,57.130001,54.82,,,111.75,,74.120003
12/21/2006,123.989998,57.790001,62.689999,,,,70.559998,,57.529999,54.889999,,,111.549992,,72.550003
12/22/2006,123.18,57.619999,63.02,,,,70.360001,,58.060001,54.939999,,,111.950008,,72.379997
12/26/2006,123.970001,57.709999,62.779999,,,,70.989998,,57.630001,54.810001,,,112.98999,,72.349998
12/27/2006,124.93,58.259998,62.369999,,,,71.440002,,56.860001,55.290001,,,114.600002,,73.25
12/28/2006,124.800003,58.099998,62.400002,,,,71.139999,,56.880001,55.259998,,,114.380013,,73.300003
12/29/2006,124.410004,57.889999,62.549999,,,,70.730003,,57.150002,55.34,,,114.170013,,73.220001
1/3/2007,124.470001,57.880001,62.5,,,,71.169998,,57.259998,55.279999,,,115.140003,,73.510002
1/4/2007,124.68,57.919998,62.509998,,,,71.07,,57.209999,55.950001,,,113.549995,,73.300003
1/5/2007,123.739998,57.43,62.939999,,,,70.199997,,58.02,54.779999,,,110.229984,,72.199997
1/8/2007,124.139999,57.560001,62.869999,,,,70.349998,,57.73,54.860001,,,111.029995,,72.300003
1/9/2007,124.07,57.580002,62.91,,,,70.389999,,57.849998,55.25,,,108.549992,,72.370003
1/10/2007,124.43,57.599998,62.82,,,,70.410004,,57.599998,54.259998,,,108.299995,,71.82
1/11/2007,124.989998,57.93,62.48,,,,70.68,,57.009998,54.169998,,,109.670013,,72.279999
1/12/2007,125.660004,58.119999,62.290001,,,,70.660004,,56.5,54.830002,,,111.899998,,73.099998
1/16/2007,125.699997,58.209999,62.259998,,,,70.529999,,56.48,54.869999,,,112.299992,,73.010002
1/17/2007,125.75,58.150002,62.240002,,,,70.57,,56.48,54.759998,,,111.830006,,73.050003
1/18/2007,125.510002,58.209999,62.32,,,,70.449997,,56.900002,54.73,,,110.649994,,72.800003
1/19/2007,125.550003,58.349998,62.389999,,,,70.610001,,56.73,55.27,,,112.640007,,73.690002
1/22/2007,124.75,58.080002,62.700001,,,,70.449997,,57.450001,54.950001,,,112.509991,,73.32
1/23/2007,125.330002,58.27,62.59,,,,70.669998,,56.939999,55.43,,,115.070011,,73.970001
1/24/2007,126.07,58.720001,62.150002,,,,71.190002,,56.25,56.23,,,116.069996,,74.449997
1/25/2007,124.970001,58.150002,62.68,,,,70.610001,,57.299999,55.119999,,,112.5,,73.239998
1/26/2007,124.769997,58.119999,62.799999,,,,70.599998,,57.439999,55.490002,,,113.189999,,73.379997
1/29/2007,124.82,58,62.810001,,,,70.68,,57.450001,55.740002,,,111.689999,,73.459999
1/30/2007,125.160004,58.279999,62.740002,,,,71.029999,,57.200001,55.860001,,,113.420013,,73.959999
1/31/2007,126.239998,58.73,62.23,,,,71.43,,56.34,55.5,,,114.299995,,74.239998
2/1/2007,126.739998,59.060001,61.950001,,,,71.900002,,55.849998,56.459999,,,115.700008,,74.860001
2/2/2007,126.529999,59.169998,62.07,,,,72.050003,,55.91,56.360001,,,115.350002,,74.709999
2/5/2007,126.68,59.099998,62.09,,,,72.080002,,56.040001,55.720001,,,115.460014,,74.470001
2/6/2007,126.650002,59.18,62.099998,,,,72.279999,,56.049999,56.669998,,,116.600006,,75.050003
2/7/2007,126.790001,59.18,61.82,,,,72.449997,,55.950001,56.450001,,,116.150013,,75.260002
2/8/2007,126.470001,58.990002,62.23,,,,72.379997,,56.27,55.689999,,,115.529995,,74.959999
2/9/2007,125.879997,58.720001,62.48,,,,72.080002,,56.5,55.84,,,114.149998,,74.639999
2/12/2007,125.589996,58.57,62.669998,,,,72.019997,,57.099998,55.880001,,,113.370003,,74.349998
2/13/2007,126.629997,59.139999,62.220001,,,,72.660004,,56.200001,57.080002,,,115.169998,,75.300003
2/14/2007,127.480003,59.549999,61.810001,,,,72.910004,,55.41,58.060001,,,117.650013,,76.32
2/15/2007,127.769997,59.540001,61.66,,,,72.870003,,55.279999,58.299999,,,117.720005,,76.410004
2/16/2007,127.57,59.509998,61.650002,,,,72.870003,,55.150002,58.099998,,,117.990005,,76.379997
2/20/2007,127.660004,59.610001,61.599998,,,,73.169998,,55.209999,58.200001,,,118.299992,,76.489998
2/21/2007,127.370003,59.48,61.830002,,,,72.959999,,55.43,57.990002,,,118.649998,,76.099998
2/22/2007,126.790001,59.400002,62.130001,,,,72.800003,,55.799999,57.93,,,118.350002,,76.440002
2/23/2007,126.410004,59.200001,62.259998,,,,72.650002,,56.099998,58.470001,,,117.500015,,76.68
2/26/2007,126.339996,59.290001,62.360001,,,,72.879997,,56.400002,58.869999,,,117.450005,,76.720001
2/27/2007,121.599998,57.380001,64.5,,,,70.550003,,60.610001,57.900002,,,107.900013,,73.629997
2/28/2007,122.660004,57.630001,64.25,,,,70.989998,,59.740002,57.41,,,110.600006,,74.150002
3/1/2007,122.440002,57.43,64.470001,,,,71.040001,,60.099998,57.23,,,109.01001,,73.389999
3/2/2007,120.959999,56.740002,65.150002,,,,70.169998,,61,56.540001,,,108,,72.400002
3/5/2007,120.300003,56.18,65.510002,,,,69.129997,,62.150002,55.75,,,105.230015,,70.900002
3/6/2007,122.059998,57.09,64.589996,,,,70.309998,,60.25,57.119999,,,109.850006,,73.099998
3/7/2007,122,56.919998,64.739998,,,,70.050003,,60.5,56.93,,,109.179989,,73.120003
3/8/2007,122.800003,57.299999,64.389999,,,,70.559998,,59.849998,57.77,,,111.999985,,73.980003
3/9/2007,122.989998,57.439999,64.32,,,,70.779999,,59.650002,57.490002,,,112.200005,,74.099998
3/12/2007,123.150002,57.529999,64.120003,,,,70.959999,,59.580002,58.02,,,112.749985,,74.580002
3/13/2007,121.019997,56.279999,65.449997,,,,69.559998,,61.650002,56.849998,,,109.470005,,72.800003
3/14/2007,121.660004,56.599998,65.099998,,,,69.970001,,60.849998,56.220001,,,110.370003,,72.830002
3/15/2007,121.790001,56.990002,65.010002,,,,70.440002,,60.830002,56.630001,,,111.27,,73.160004
